"ID","Area","Feature","User Story","Expected Behavior","Entry Point","Key Files","Priority","Status","Test Method","Test Result","Errors/Bugs Found","Severity","Fix Status","Notes"
"DET-16","Artist / Playlist / Album / Podcast detail pages","Playlist/album track pagination","As a listener, I want more tracks to load automatically as I scroll so that long playlists are fully browsable.","Each track row has a .task that, when its index is within 3 of the end and hasMore is true, calls viewModel.loadMore(). loadMore() (only when .loaded, hasMore, detail present) sets .loadingMore (showing a centered ProgressView at the list bottom), calls client.getPlaylistContinuation(), dedupes new tracks against existing videoIds, appends only unique tracks, preserves the reported track count, and updates hasMore from the response. If the continuation is nil or yields no unique tracks, hasMore is set false and pagination stops (guards radio-style overlapping data). On error/cancellation it returns to .loaded so the user can retry.","Scrolling near the end of the track list (automatic)","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PlaylistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/ViewModels/PlaylistDetailViewModel.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F023(medium): Playlist pagination relies on a single shared continuation token on the client, corrupting page loads when two playlist/album detail views are on the stack","medium","Fixed (merged)",""
"DET-17","Artist / Playlist / Album / Podcast detail pages","Play / Shuffle / Play Next / Add to Queue playlist","As a listener, I want one-tap controls to play, shuffle, queue-next, or append a whole playlist/album so that I can control playback efficiently.","Header buttons: Play (.glassProminent) plays cleaned tracks via playQueue starting at 0; Shuffle plays a shuffled copy from 0; Play Next inserts cleaned tracks immediately after the current track; Add to Queue appends cleaned tracks to the end. All four are disabled when detail.tracks is empty. cleanTracks strips literal ""Album""/""Album, "" artist noise, applies a fallback artist (album author) and fallback album/thumbnail when missing, so queued tracks always carry sensible metadata. A makeFallbackAlbum built from playlist metadata is passed in for tracks lacking album info.","Play / Shuffle / Play Next / Add to Queue buttons in the playlist header","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PlaylistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/SongActionsHelper.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/Player/PlayerService+Queue.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-18","Artist / Playlist / Album / Podcast detail pages","Add/Remove playlist from library","As a listener, I want to add or remove a playlist/album from my library so that I can keep favorites for later.","The Add/Remove Library button shows ""Added to Library"" + checkmark.circle.fill when isInLibrary (library VM) or isAddedToLibrary (session flag) is true, else ""Add to Library"" + plus.circle. Tapping fires HapticService.success() and toggleLibrary(): when adding, calls SongActionsHelper.addPlaylistToLibrary (client.subscribeToPlaylist, invalidate caches, optimistic add, 500ms wait + refresh, re-add if still missing) and sets isAddedToLibrary=true; when removing, calls removePlaylistFromLibrary (unsubscribe, invalidate, optimistic remove, refresh, re-remove if still present) and sets isAddedToLibrary=false.","Add/Remove Library button in the playlist header","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PlaylistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/SongActionsHelper.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-19","Artist / Playlist / Album / Podcast detail pages","Playlist/album track row playback and hover","As a listener, I want to play a track from the list and see clear playback affordances so that I know what is playing.","Single click on a row is intentionally a no-op; a double-click anywhere plays the track via playTrackInQueue(tracks, startingAt: index) (cleaned tracks). The leading 28pt column shows: a NowPlayingIndicator when the row is the current track, a clickable play.fill button on hover (single-click plays), or the 1-based index otherwise. Albums hide per-track thumbnails (shared art) and indent dividers 40pt; playlists show a 40pt thumbnail and indent dividers 96pt. The current track's title renders in red. Rows highlight on hover (6% primary, 0.12s animation) and animate in with a staggered appearance (index capped at 10).","Double-click a row, or hover then click the play icon","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PlaylistDetailView.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-20","Artist / Playlist / Album / Podcast detail pages","Playlist track context menu","As a listener, I want a right-click menu on tracks so that I can queue, favorite, like/dislike, start radio, add to library, share, or jump to artist/album.","Right-click shows: Play Next / Add to Queue, Play (same as double-click), Add/Remove Favorites, Like/Dislike (LikeDislikeContextMenu), Start Radio (playWithRadio), Add to Library (play+toggle), Share (if track.shareURL), Go to Artist (NavigationLink for the first artist with a navigable id), and Go to Album (NavigationLink built from track.album when album.hasNavigableId). Go-to-Artist/Album entries are omitted when no navigable id exists.","Right-click / control-click on a track row","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PlaylistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/SongActionsHelper.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/ShareContextMenu.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-21","Artist / Playlist / Album / Podcast detail pages","Navigate to artist from album header","As a listener, I want to click the artist name on an album page so that I can open the artist's page.","The header subtitle (displayAuthor: detail.author, or the first track's artistsDisplay on albums when author is empty) is a NavigationLink to an Artist when navigableArtist resolves one — preferring detail.authorChannelId (a navigable channel id parsed from straplineTextOne/subtitle) with the author name, otherwise the first track that carries a navigable artist. The link has a pointing-hand cursor and ""Go to Artist"" tooltip. On regular (non-album) playlists, or when no navigable artist exists, the author is shown as plain text.","Click the author subtitle on an album page","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PlaylistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/Playlist.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-22","Artist / Playlist / Album / Podcast detail pages","Podcast show detail loading and display","As a podcast listener, I want to open a show and see its artwork, author, description, and episodes so that I can choose what to listen to.","On appear loadShow() (only when .idle) calls client.getPodcastShow(browseId:), stores episodes, continuationToken, and isSubscribed, then sets .loaded. The header shows a 180x180 rounded artwork, bold title, optional author (title3), and a 4-line-clamped description. The Episodes section shows up to previewEpisodeCount (5) episodes via PodcastEpisodeRow; while loading it shows a centered ProgressView. The view applies an accentBackground from the show thumbnail. On error, loadingState becomes .error (logged) — note the body does not branch on .error, so it keeps rendering the (empty) episode list.","NavigationLink to a PodcastShow value (from podcast discovery, search, or library)","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PodcastDetailViews.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/Podcast.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/PodcastParser.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F021(medium): PodcastShowView has no error state — a failed load shows a title with an empty episode list and no retry","medium","Fixed (merged)",""
"DET-23","Artist / Playlist / Album / Podcast detail pages","Play podcast episode and queue rest","As a podcast listener, I want to play an episode and have the rest of the show queued so that I can listen continuously.","""Play Latest"" (.glassProminent, shown only when episodes is non-empty) plays from index 0; tapping any episode row plays that episode. Both call playEpisodeInQueue(at:), which maps all episodes to Song objects (id/videoId = episode.id, artists derived from showTitle, duration from durationSeconds, thumbnail from episode) and calls playerService.playQueue(songs, startingAt: index).","""Play Latest"" button or tapping an episode row","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PodcastDetailViews.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-24","Artist / Playlist / Album / Podcast detail pages","Subscribe/Add podcast to library","As a podcast listener, I want to add or remove a show from my library so that I can follow it.","The library button shows ""In Library"" + checkmark when isSubscribed, else ""Add to Library"" + plus; while toggling it shows a small ProgressView and is disabled. Tapping calls toggleSubscription(): subscribe/unsubscribeFromPodcast (client call, cache invalidation, optimistic library add/remove, 500ms wait + refresh, re-apply if backend lags), flipping isSubscribed on success. On failure, subscriptionError is set, which presents a ""Subscription Error"" alert with the error message and an OK button.","Add to Library / In Library button in the podcast header","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PodcastDetailViews.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/SongActionsHelper.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-25","Artist / Playlist / Album / Podcast detail pages","Podcast episode row metadata and progress","As a podcast listener, I want each episode to show its duration, date, played status, and progress so that I can track what I have listened to.","PodcastEpisodeRow shows an 80x80 thumbnail, a 2-line title, the formatted duration (HH:MM:SS or MM:SS from durationSeconds, else the raw duration string), a 2-line description, the published date, a ""Played"" label (checkmark.circle.fill) when isPlayed, and a tinted ProgressView when playbackProgress > 0 and not yet played. isPlayed is derived from playbackProgressPercentage >= 95 or an explicit ""played"" text run.","Viewing episode rows on the show page or All Episodes page","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PodcastDetailViews.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/Podcast.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/PodcastParser.swift","P2","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-26","Artist / Playlist / Album / Podcast detail pages","Favorite a podcast show","As a podcast listener, I want to pin a show to Favorites so that I can find it quickly.","Right-clicking the show artwork shows a single FavoritesContextMenu item that toggles the show in/out of Favorites via FavoritesManager (label/icon swap between ""Add to Favorites""/heart and ""Remove from Favorites""/heart.slash).","Right-click the podcast show artwork","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PodcastDetailViews.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/FavoritesContextMenu.swift","P2","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-27","Artist / Playlist / Album / Podcast detail pages","All episodes view with infinite scroll","As a podcast listener, I want to view all episodes of a show and load more as I scroll so that I can browse the full back catalog.","""Show All"" appears when episodes.count > 5 or a continuationToken exists; it navigates to AllEpisodesView (via showAllEpisodes binding, also reachable via AllEpisodesDestination). AllEpisodesView seeds with the initial episodes/token on first appear and lists rows; when the last row appears and a continuation token exists it shows a ProgressView and calls loadMoreEpisodes(), which (guarded against re-entrancy) fetches getPodcastEpisodesContinuation(token:), appends the new episodes, and updates the token. Tapping a row plays that episode and queues the rest. Errors are logged and silently stop further loading.","""Show All"" button in the podcast Episodes section","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PodcastDetailViews.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/Podcast.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-28","Artist / Playlist / Album / Podcast detail pages","Accent background from artwork","As a listener, I want detail pages to be tinted with colors from the artwork so that each page feels immersive and on-brand.","All four detail pages apply accentBackground(from: highQualityThumbnailURL). AccentBackground fetches the image, extracts a color palette, and renders a rich multi-stop gradient with a radial depth overlay in dark mode, or a subtle top tint over the window background in light mode (animated 0.5s on load, 0.3s on color-scheme change). If the URL is nil or the fetch fails, it falls back to a default palette; CancellationError on URL change is ignored silently.","Automatic background of every detail page","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/AccentBackground.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/ArtistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PlaylistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PodcastDetailViews.swift","P2","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"DET-29","Artist / Playlist / Album / Podcast detail pages","Persistent player bar on detail pages","As a listener, I want the player bar pinned at the bottom of detail pages so that I can control playback while browsing.","Artist, Playlist, TopSongs, AllAlbums, Podcast, and AllEpisodes views attach a bottom safeAreaInset hosting PlayerBar. On the artist/playlist/top-songs/all-albums views the PlayerBar is suppressed while the page is in the .error state; podcast and all-episodes views always show it. Each page sets a navigation title (artist/playlist title, ""Top songs"", ""Albums"", show title, ""All Episodes"") with hidden toolbar background.","Automatic; visible on every detail page","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/ArtistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PlaylistDetailView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/TopSongsView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/AllAlbumsView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/PodcastDetailViews.swift","P2","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-01","Explore / Discover (moods, new releases, top songs, all albums)","Open Explore page","As a listener, I want to open the Explore page from the sidebar, menu, or keyboard so I can discover curated music.","Selecting 'Explore' (Discover section of the sidebar, the Go menu 'Explore' item, or Cmd+5) sets navigationSelection to .explore and MainWindow renders ExploreView with the shared ExploreViewModel. Sidebar selection change fires HapticService.navigation(). The navigation title is 'Explore'. On first appearance the .task runs viewModel.load() only when loadingState == .idle (so re-visiting an already-loaded tab does not refetch). A bottom PlayerBar is inset at all times.","Sidebar 'Explore' row (Discover section), Go menu 'Explore', or Cmd+5","Sources/Kaset/Views/ExploreView.swift; Sources/Kaset/Views/MainWindow.swift; Sources/Kaset/Views/Sidebar.swift; Sources/Kaset/KasetApp.swift; Sources/Kaset/Models/ShortcutAction.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Cmd+5 maps to kVK_ANSI_5 + cmdKey in ShortcutAction.defaultShortcut. Cmd-number order in Sidebar.cmdOrder places explore at index 4."
"EXPL-02","Explore / Discover (moods, new releases, top songs, all albums)","Load Explore content","As a listener, I want Explore to load quickly and show curated sections so I can browse new music.","load() guards against a re-entrant call (loadingState == .loading), sets state to .loading, then calls client.getExplore() which browses 'FEmusic_explore' with a home TTL cache. On success it stores response.sections after filtering out any section whose title lowercased equals 'charts' (Charts lives in the sidebar elsewhere), sets hasMoreSections from client.hasMoreExploreSections, marks state .loaded, resets continuationsLoaded to 0, and kicks off background continuation loading. While loading (or idle) a LoadingView reading 'Loading explore content...' is shown.","Automatic on first view appearance via .task","Sources/Kaset/ViewModels/ExploreViewModel.swift; Sources/Kaset/Services/API/YTMusicClient.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-03","Explore / Discover (moods, new releases, top songs, all albums)","Progressive background section loading (Explore)","As a listener, I want more Explore sections to appear automatically as I browse so the page feels complete without manual paging.","After initial load, startBackgroundLoading() cancels any prior task and starts a new one that sleeps 300ms (to let the UI settle), checks for cancellation, then loops loadMoreSections(): while hasMoreSections is true AND continuationsLoaded < 4 AND state is still .loaded, it calls client.getExploreContinuation(), filters out 'charts' sections, appends results, increments continuationsLoaded, and updates hasMoreSections. A nil continuation result sets hasMoreSections=false and stops; CancellationError stops quietly; any other error logs a warning and stops. The task is cancelled on refresh and in deinit.","Automatic after initial Explore load","Sources/Kaset/ViewModels/ExploreViewModel.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Hard cap of 4 continuations (maxContinuations). Background load aborts if state leaves .loaded."
"EXPL-04","Explore / Discover (moods, new releases, top songs, all albums)","Explore offline / no-connection state","As a listener with no internet, I want a clear offline message with a retry option on Explore.","ExploreView observes NetworkMonitor.shared. When isConnected is false the entire content is replaced by an ErrorView titled 'No Connection' with message 'Please check your internet connection and try again.' and a retry action that runs viewModel.refresh(). This offline check takes precedence over the loadingState switch.","Automatic when NetworkMonitor reports disconnected","Sources/Kaset/Views/ExploreView.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-05","Explore / Discover (moods, new releases, top songs, all albums)","Explore load error & retry","As a listener, I want to retry when Explore fails to load.","If getExplore() throws a non-cancellation error, load() logs it and sets loadingState to .error(LoadingError(from: error)); HTTP 401/403 surfaces as YTMusicError.authExpired (and the client calls authService.sessionExpired()). The view shows ErrorView(error:) with a retry button that runs viewModel.refresh(). A CancellationError instead resets state to .idle silently so the .task can retry on next appearance.","Automatic on load failure; user taps retry","Sources/Kaset/Views/ExploreView.swift; Sources/Kaset/ViewModels/ExploreViewModel.swift; Sources/Kaset/Services/API/YTMusicClient.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-06","Explore / Discover (moods, new releases, top songs, all albums)","Pull-to-refresh Explore","As a listener, I want to refresh Explore to fetch the latest curated content.","The .refreshable handler calls viewModel.refresh(), which cancels the background load task, clears sections, resets hasMoreSections=true and continuationsLoaded=0, then calls load() again (re-fetching from getExplore, subject to home cache TTL). Refresh is also the retry action used by the offline and error states.","Pull-to-refresh gesture on the scroll view","Sources/Kaset/Views/ExploreView.swift; Sources/Kaset/ViewModels/ExploreViewModel.swift","P2","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-07","Explore / Discover (moods, new releases, top songs, all albums)","Browse Explore sections in horizontal carousels","As a listener, I want each Explore section shown as a labeled horizontal carousel of cards so I can scan content by category.","contentView renders a vertical LazyVStack (32pt spacing, 24pt horizontal / 20pt vertical padding) of sections. Each section shows its title (title2, semibold) above a non-clipped horizontal ScrollView with a LazyHStack (16pt spacing) of HomeSectionItemCard cards. Cards are built per item; for non-chart sections cards have no rank. Items enumerate by element id.","Visible after Explore content loads","Sources/Kaset/Views/ExploreView.swift; Sources/Kaset/Models/HomeSection.swift; Sources/Kaset/Views/SharedViews/HomeSectionItemCard.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-08","Explore / Discover (moods, new releases, top songs, all albums)","Ranked chart sections in Explore/New Releases","As a listener, I want chart-type sections to show numbered rankings so I can see top-ranked items at a glance.","When a HomeSection has isChart == true, its cards are built with rank = index + 1. HomeSectionItemCard then renders chartContent, overlaying a large rounded bold rank number (32pt) at the bottom-leading corner with a window-background-colored shadow for legibility. Non-chart sections render regularContent without a rank badge.","Automatic when a section is flagged as a chart","Sources/Kaset/Views/ExploreView.swift; Sources/Kaset/Views/NewReleasesView.swift; Sources/Kaset/Views/SharedViews/HomeSectionItemCard.swift; Sources/Kaset/Models/HomeSection.swift","P1","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F026(low): NewReleasesView (and History container) lack accessibility identifiers used by UI tests","low","Fixed (merged)","ExploreViewModel filters out the section literally titled 'Charts', but other isChart sections (e.g. Top 100/Trending) still render with rank badges."
"EXPL-09","Explore / Discover (moods, new releases, top songs, all albums)","Play a song from an Explore/New Releases card","As a listener, I want to tap a song card to start playback with an automatic radio queue.","Tapping a song card calls playItem, which for the .song case launches a Task calling playerService.playWithRadio(song:). This starts playback of the tapped song and fetches similar songs to build a radio queue in the background. Song cards show a glass play.fill overlay on hover and a music.note kind badge.","Click a song card in an Explore or New Releases carousel","Sources/Kaset/Views/ExploreView.swift; Sources/Kaset/Views/NewReleasesView.swift; Sources/Kaset/Views/SharedViews/HomeSectionItemCard.swift; Sources/Kaset/Services/Player/PlayerService+Queue.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-10","Explore / Discover (moods, new releases, top songs, all albums)","Navigate to playlist/album/artist from an Explore/New Releases card","As a listener, I want to open a playlist, album, or artist detail page from a card.","Tapping a non-song card appends a value to the local NavigationPath: a playlist appends the Playlist directly; an album is converted into a Playlist (id, title, thumbnailURL, trackCount, author=artistsDisplay, no description) and appended; an artist appends the Artist. navigationDestinations(client:) then resolves these into PlaylistDetailView / ArtistDetailView. Mood/genre playlists are special-cased (see EXPL-12).","Click a playlist/album/artist card","Sources/Kaset/Views/ExploreView.swift; Sources/Kaset/Views/NewReleasesView.swift; Sources/Kaset/Views/SharedViews/NavigationDestinationsModifier.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-11","Explore / Discover (moods, new releases, top songs, all albums)","Card visuals: thumbnails, placeholders, badges, density","As a listener, I want attractive, informative cards even when artwork is missing.","HomeSectionItemCard loads item.thumbnailURL.highQualityThumbnailURL via CachedAsyncImage (resizable, fill, 8pt rounded). When no thumbnail exists, it shows a placeholder: for mood playlists whose description is a '#'-prefixed hex color it uses an API-color gradient, otherwise a deterministic title-hash gradient, overlaid with a type icon (music.note / square.stack / music.note.list / person.fill). A bottom-trailing kind badge (capsule) distinguishes item types. Card width is 120pt in compact density and 160pt otherwise (SettingsManager.displayDensity); height equals width. Hovering animates isHovering (used for play overlay).","Rendered for every card","Sources/Kaset/Views/SharedViews/HomeSectionItemCard.swift; Sources/Kaset/Services/SettingsManager.swift","P2","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-12","Explore / Discover (moods, new releases, top songs, all albums)","Open a mood/genre category from Explore","As a listener, I want to tap a mood or genre tile to open a page of songs and playlists for that mood.","Mood/genre tiles arrive as playlist items whose id starts with 'FEmusic_moods_and_genres'. NavigationDestinationsModifier detects this in its Playlist destination: it parses the combined id via MoodCategory.parseId into (browseId, params) and presents MoodCategoryDetailView with a MoodCategoryViewModel built from the parsed category and the playlist's title. A direct MoodCategory navigation value resolves to the same view. If parsing fails it falls back to PlaylistDetailView.","Click a mood/genre tile in an Explore carousel","Sources/Kaset/Views/SharedViews/NavigationDestinationsModifier.swift; Sources/Kaset/Models/MoodCategory.swift; Sources/Kaset/Views/MoodCategoryDetailView.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","parseId base id is 'FEmusic_moods_and_genres_category'; params are everything after that plus an underscore. isMoodCategory matches the broader 'FEmusic_moods_and_genres' prefix."
"EXPL-13","Explore / Discover (moods, new releases, top songs, all albums)","Mood/genre category detail content","As a listener, I want a mood/genre page to show its sections of songs and playlists.","MoodCategoryViewModel.load() guards re-entrancy, sets .loading, calls client.getMoodCategory(browseId:params:) (browse, home TTL), stores response.sections, and marks .loaded. The view's navigation title is the category title and a LoadingView 'Loading {title}...' shows while loading. Loaded content renders the same labeled horizontal carousels as Explore. Unlike Explore there is no continuation/background loading for categories.","After navigating into a mood/genre category","Sources/Kaset/ViewModels/MoodCategoryViewModel.swift; Sources/Kaset/Views/MoodCategoryDetailView.swift; Sources/Kaset/Services/API/YTMusicClient.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-14","Explore / Discover (moods, new releases, top songs, all albums)","Mood/genre empty, error, and refresh states","As a listener, I want clear feedback when a mood/genre page is empty or fails, and the ability to retry.","When loaded with zero sections the view shows ContentUnavailableView('No Content Available', systemImage music.note, description 'No songs or playlists found in this category.'). On a non-cancellation error load() sets .error and the view shows ErrorView(error:) with retry running refresh(); while errored the bottom PlayerBar is hidden. CancellationError resets to .idle. .refreshable / retry calls refresh(), which clears sections and reloads. PlayerBar is shown in all non-error states.","Automatic; retry button or pull-to-refresh","Sources/Kaset/Views/MoodCategoryDetailView.swift; Sources/Kaset/ViewModels/MoodCategoryViewModel.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-15","Explore / Discover (moods, new releases, top songs, all albums)","Interact with items inside a mood/genre category","As a listener, I want to play songs and open playlists/albums/artists from a mood/genre page.","In MoodCategoryDetailView each item uses itemView: a song is a HomeSectionItemCard button that plays via playerService.playWithRadio(song:); a playlist uses a NavigationLink — if its id is itself a mood category it links to a parsed MoodCategory, otherwise to the Playlist; an album is converted to a Playlist and linked; an artist links to the Artist. NavigationLink labels use a hover-animated ItemCardContent card (scale 1.02 and shadow on hover) with .plain button style; this view is pushed onto the parent NavigationStack so it inherits the parent's navigation context.","Click items in a mood/genre carousel","Sources/Kaset/Views/MoodCategoryDetailView.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-16","Explore / Discover (moods, new releases, top songs, all albums)","Open New Releases page","As a listener, I want to open New Releases to see recently released music.","Selecting 'New Releases' (Discover section, Go menu item, or Cmd+6) sets navigationSelection to .newReleases; MainWindow renders NewReleasesView. Navigation title is 'New Releases'. The first appearance .task runs viewModel.load() only when idle. Behavior mirrors Explore (offline check, loading/loaded/error states, refreshable, swipe gestures, bottom PlayerBar).","Sidebar 'New Releases', Go menu 'New Releases', or Cmd+6","Sources/Kaset/Views/NewReleasesView.swift; Sources/Kaset/Views/MainWindow.swift; Sources/Kaset/Views/Sidebar.swift; Sources/Kaset/Models/ShortcutAction.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F026(low): NewReleasesView (and History container) lack accessibility identifiers used by UI tests","low","Fixed (merged)","Cmd+6 = kVK_ANSI_6 + cmdKey."
"EXPL-17","Explore / Discover (moods, new releases, top songs, all albums)","Load New Releases content with background paging","As a listener, I want New Releases to load fast and progressively fill in more sections.","NewReleasesViewModel.load() calls client.getNewReleases() (browse 'FEmusic_new_releases_albums', home TTL), stores response.sections (no 'Charts' filtering, unlike Explore), sets hasMoreSections from hasMoreNewReleasesSections, and starts background loading. loadMoreSections() loops up to 4 continuations via getNewReleasesContinuation(), appending sections until exhausted, cancelled, or errored. Loading shows 'Loading new releases...'; offline shows the same 'No Connection' ErrorView; failures show ErrorView with retry=refresh(); CancellationError resets to .idle.","Automatic on view appearance","Sources/Kaset/ViewModels/NewReleasesViewModel.swift; Sources/Kaset/Services/API/YTMusicClient.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
"EXPL-18","Explore / Discover (moods, new releases, top songs, all albums)","Play and navigate from New Releases cards","As a listener, I want to play songs and open albums/playlists/artists from New Releases.","NewReleasesView.playItem mirrors Explore exactly: songs start playWithRadio; playlists append to the path; albums are converted to a Playlist and appended; artists are appended; navigationDestinations resolves them. Chart sections (if present, since New Releases does not filter Charts) render ranked cards.","Click a card in a New Releases carousel","Sources/Kaset/Views/NewReleasesView.swift; Sources/Kaset/Views/SharedViews/NavigationDestinationsModifier.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A",""
